This Week's Date,11/2,11/2,11/3,11/4,11/5,11/6,11/7,11/8,,,
,Physical Health,,,,,,,,,,
,Cardio Work Outs x2,,,,,,,,,0,
,Strength Work Outs x2,,,,,,,,,0,
,"Weeknight Drinking x1, Max 2 Drinks",,,,,,,,1,1,
,"Weekend Drinking: Max 8 drinks, max 4 in 1 day",,,,,,,,,0,
,No Zyns,,,,,,,,,0,
,In bed by 11:30PM on weeknights,,,,,,,,2,2,
,Awake by 7:30AM on weekdays,,1,,,,,,2,3,
,,,,,,,,,,,
,Mental Health,,,,,,,,,,
,Meditate x4,,,,,,,,4,4,
,Gratitude Journal x7,,,,,,,,2,2,
,Read 50 pages of non-fiction,,,,,,,,,0,
,Max 30 minutes of Instagram per day,1,,,,,,,,1,
,,,,,,,,,2,,
,Budgeting,,,,,,,,,0,
,"Buy breakfast, x1 per week",,,,,,,,,0,
,"Buy lunch max, x2 per weekdays",,,,,,,,,0,
,"Buy dinner max, x2 per weekdays",,,,,,,,,0,
,"Buy lunch max, x1 per weekend",,,,,,,,,0,
,"Buy dinner max, x1 per weekend",,,,,,,,,0,
,,,,,,,,,,,
,Work,,,,,,,,,,
,Begin active work by 9:30AM each day,,X,,,,,,1,1,
,"Time block each day, intent to better plan day",,,,,,,,1,1,
,,,,,,,,,,,
,Other,,,,,,,,,,
,Finish 1 storyworth for Dad per day,1,,,,,,,6,7,
,Set week specific goals Sunday night,,did on Monday,,,,,,,0,
,"Have budget session with Chelsey - set targeted goals, invite to Monarch, discuss savings plan",,,,,,,,,,
,,,,,,,,,,22,
,,,,,,,,,,,
,,12/9,12/10,12/11,12/12,12/13,12/14,12/15,,,
,,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Misses,Total,
,Physical Health,,,,,,,,,,
,Cardio Work Outs x2,,,,X,,,,,0,
,Strength Work Outs x2,,X,,,,X,X,,0,
,"Weeknight Drinking x1, Max 2 Drinks",,,,,,,,,0,
,"Weekend Drinking: Max 8 drinks, max 4 in 1 day",,,,,,,,,0,
,No Zyns,,,,,,,,,0,
,In bed by 11:30PM on weeknights,X,X,,,,,,,0,
,Awake by 7:30AM on weekdays,,1,,,,1,,,2,
,,,,,,,,,,,
,Mental Health,,,,,,,,,,
,Meditate x4,,,,,,,,1,1,
,Gratitude Journal x7,X,X,X,X,X,X,1,,1,
,Read 50 pages of non-fiction,X,,,,,,,,0,
,Max 30 minutes of Instagram per day,1,,,,,,,2,3,
,,,,,,,,,,,
,Budgeting,,,,,,,,,0,
,"Buy breakfast, x1 per week",,1,1,,,,,,2,
,"Buy lunch max, x2 per weekdays",,,X,X,,,,,0,
,"Buy dinner max, x2 per weekdays",,,,,,,,,0,
,"Buy lunch max, x1 per weekend",,,,,,,,,0,
,"Buy dinner max, x1 per weekend",,,X,,,,,,0,
,,,,,,,,,,,
,Work,,,,,,,,,,
,Begin active work by 9:30AM each day,,X,X,X,X,X,X,,0,
,"Time block each day, intent to better plan day",,X,X,X,X,X,X,,0,
,,,,,,,,,,,
,Other,,,,,,,,,,
,Finish 1 storyworth for Dad per day,1,,,,,,,,1,
,Set week specific goals Sunday night,,,did on Tuesday,,,,,,0,
,Christmas shop for Chelsey - 1 sentimental gift and 1 comfy gift,,,,,,,,2,2,
,FINISH STORYWORTH,,,,,,,,,,
,,,,,,,,,,12,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,1/5,1/6,1/7,1/8,1/9,1/10,1/11,,,
,,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Misses,Total,
,Physical Health,,,,,,,,,,
,Cardio Work Outs x2,,X,,,,,,1,1,
,Strength Work Outs x2,,,,X,X,,,,0,
,"Weeknight Drinking x1, Max 2 Drinks",,,,,,,,,0,
,"Weekend Drinking: Max 8 drinks, max 4 in 1 day",,,,,,,,,0,
,No Zyns,,,,,,,,,0,
,In bed by 11:30PM on weeknights,,,,,,1,,,1,
,Awake by 7:30AM on weekdays,,1,,,1,,,,2,
,,,,,,,,,,,
,Mental Health,,,,,,,,,,
,Meditate x4,,X,,,,,,3,3,
,Gratitude Journal x7,X,X,X,X,X,1,X,,1,
,Read 50 pages of non-fiction,X,,,,,,,,0,
,Max 30 minutes of Instagram per day,,,,,,,,,0,
,,,,,,,,,,,
,Budgeting,,,,,,,,,0,
,"Buy breakfast, x1 per week",,,1,,,,,,1,
,"Buy lunch max, x2 per weekdays",,,,,,,,,0,
,"Buy dinner max, x2 per weekdays",,,,,,,,,0,
,"Buy lunch max, x1 per weekend",,,,,,,X,,0,
,"Buy dinner max, x1 per weekend",,,,,,,X,,0,
,,,,,,,,,,,
,Work,,,,,,,,,,
,Begin active work by 9:30AM each day,,X,X,X,X,1,,,1,
,"Time block each day, intent to better plan day",,X,X,X,X,1,,,1,
,,,,,,,,,,,
,Other,,,,,,,,,,
,,,,,,,,,,0,
,Set week specific goals Sunday night,1,,,,,,,,1,
,,,,,,,,,,0,
,,,,,,,,,,,
,,,,,,,,,,12,
,,,,,,,,,,,
,,,,,,,,,,,
,,1/12,1/13,1/14,1/15,1/16,1/17,1/18,,,
,,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Misses,Total,
,,,,,,,,,,,
1/12-1/18,,,,,,,,,,,
,Physical Health,,,,,,,,,,
,Cardio Work Outs x2 (1 HIIT workout),,,,,,X,,1,1,
,Strength Work Outs x2,,X,,X,,,,,0,
,Core Work Out x1 (Can be cardio focused core),,,,,,,,1,1,
,No Zyns,X,X,X,X,X,X,X,,0,
,In bed by 11:00PM on weeknights,,X,X,X,1,,,,1,
,Awake by 7:15AM on weekdays,,1,1,1,1,1,,,5,
,,,,,,,,,,,
,Mental Health,,,,,,,,,,
,Meditate x7,,X,X,X,X,X,X,,0,
,Gratitude Journal x7,X,X,X,X,X,1,X,,1,
,Fifteen Minutes Written Journaling x2 (Wednesday & Sunday),,X,X,,X,X,X,1,1,
,Read 50 pages of non-fiction,,,,X,,,,,0,
,Read 1 chapter of a parenting book,,X,X,X,X,X,X,,0,
,Read 10 minutes every morning or evening,,X,X,X,X,X,X,,0,
,Max 25 minutes of Instagram per day,,X,X,X,X,X,X,,0,
,Set week specific goals Sunday night,,X,,,,,,,0,
,Review strikes each night or in morning of following day,X,X,X,X,1,1,1,,3,
,,,,,,,,,,,
,Budgeting,,,,,,,,,0,
,"Buy breakfast, x1 per week",,,,,,,,,0,
,"Buy lunch max, x2 per weekdays",,,,,,,,,0,
,"Buy dinner max, x2 per weekdays",,,,,,,,,0,
,"Buy lunch max, x1 per weekend",,,,,,,,,0,
,"Buy dinner max, x1 per weekend",,,,,X,,,,0,
,Review expenses for 5 minutes at one point in the day,,,,X,X,X,,2,2,
,,,,,,,,,,,
,Work,,,,,,,,,,
,Begin active work by 9:30AM each day,,,X,X,X,X,,,0,
,"Time block each day, intent to better plan day",,,X,X,X,X,,,0,
,Do 90 minutes of focused do not disturb work every workday OR,,,X,X,X,X,,,0,
,Do 4 pomadoro time blocks each day,,,,,,,,,0,
,,,,,,,,,,,
,Monthly,,,,,,,,,,
,"Review financial health (expenses, savings)",,,,,,,,,0,
,Check-in with Chelsey on how she feels about us and what I can do as a partner,,,,,,,,,0,
,"Go to 1 networking event a month - either direct coffee, happy hour or speaker",,,,,,,,,0,
,2 'nice' planned date nights a month,,,,,,,,,,
,,,,,,,,,,,
,Cooking,,,,,,,,,,
,Cook 1 new meal a week,,,,,,,X,,0,
,Read 10 pages of cook book each week,,,,,,,,1,1,
,,,,,,,,,,,
,Other,,,,,,,,,,
,Complete review of Dad's updated storyworths,,,,,,,,1,1,
,Add in Alexa to Govee home system,,,,,,,,1,1,
,Set up auto cat feeders,,X,,,,,,X,0,
,Finish baby registry ,,,,,,,,1,1,
,,,,,,,,,,,
Misses:,,,,,,,,,,19,
,,,,,,,,,,,
1/19-1/25,,,,,,,,,,,
,Physical Health,,,,,,X,,1,,
,Cardio Work Outs x2 (1 HIIT workout),,X,,,,,X,,0,
,Strength Work Outs x2,,,,,,,,,0,
,Core Work Out x1 (Can be cardio focused core),,,,,,,,1,1,
,No Zyns,X,X,X,X,X,X,X,,0,
,In bed by 11:15PM on weeknights,,,,,,,,3,3,
,Awake by 7:25AM on weekdays,,,,,,,,3,3,
,,,,,,,,,,,
,Mental Health,,,,,,,,,,
,Meditate x7,,,,,,,,2,2,
,Gratitude Journal x7,X,X,X,X,X,1,X,,1,
,Fifteen Minutes Written Journaling x2 (Wednesday & Sunday),,,,X,,,,1,1,
,Read 50 pages of non-fiction,,,,,,,,X,0,
,Read 1 chapter of a parenting book,X,X,X,X,X,1,X,,1,
,Read 10 minutes every morning or evening,X,X,X,X,X,1,1,,2,
,Max 25 minutes of Instagram per day,,,,,,,,,0,
,Set week specific goals Sunday night,,,,,,,,,0,
,Review strikes each night or in morning of following day,,,,,,,,3,3,
,,,,,,,,,,,
,Budgeting,,,,,,,,,0,
,"Buy breakfast, x1 per week",,,,,,,,,0,
,"Buy lunch max, x2 per weekdays",,,,,,,,,0,
,"Buy dinner max, x2 per weekdays",,,,,,,,,0,
,"Buy lunch max, x1 per weekend",,,,,,,,,0,
,"Buy dinner max, x1 per weekend",,,,,,,,,0,
,Review expenses for 5 minutes at one point in the day,,,,,,,,3,3,
,,,,,,,,,,,
,Work,,,,,,,,,,
,Begin active work by 9:30AM each day,,X,X,X,X,X,,,0,
,"Time block each day, intent to better plan day",,X,X,X,X,X,,,0,
,Do 90 minutes of focused do not disturb work every workday OR,,X,X,X,X,X,,,0,
,Do 4 pomadoro time blocks each day,,,,,,,,,0,
,,,,,,,,,,,
,Monthly,,,,,,,,,,
,"Review financial health (expenses, savings)",,,,,,,,,0,
,Check-in with Chelsey on how she feels about us and what I can do as a partner,,,,,,,,,0,
,"Go to 1 networking event a month - either direct coffee, happy hour or speaker",,,,,,,,,0,
,2 'nice' planned date nights a month,,,,,,,,,,
,,,,,,,,,,,
,Cooking,,,,,,,,,,
,Cook 1 new meal a week,,,,,,,,,0,
,Read 10 pages of cook book each week,,,,,,,,,0,
,,,,,,,,,,,
,Other,,,,,,,,,,
,Complete review of Dad's updated storyworths,,,,,,,,1,1,
,Add in Alexa to Govee home system,,,,,,,,1,1,
,Set up car insurance,,,,,,,,1,1,
,,,,,,,,,,0,
,,,,,,,,,,,
Misses:,,,,,,,,,,23,
,,,,,,,,,,,
1/26-2/1,,,,,,,,,,,
,Physical Health,,,,,,,,,,
,Cardio Work Outs x2 (1 HIIT workout),,,,X,,,,1,1,
,Strength Work Outs x2,,X,,,X,,,,0,
,Core Work Out x1 (Can be cardio focused core),,,,X,,,,,0,
,No Zyns,X,X,,,,,,,0,
,In bed by 11:15PM on weeknights,1,X,X,X,1,,,,2,
,Awake by 7:25AM or 7:45 on weekdays; depending on WFH,,1,X,X,X,X,,,1,
,,,,,,,,,,,
,Mental Health,,,,,,,,,,
,Meditate x7,X,X,X,X,X,X,,1,1,
,Gratitude Journal x7,X,X,X,X,X,X,X,,0,
,Fifteen Minutes Written Journaling x2 (Wednesday & Sunday),,X,,,,,,1,1,
,Read 50 pages of non-fiction,X,,,,,,,,0,
,Read 1 chapter of a parenting book,X,X,X,X,X,X,,1,1,
,Read 10 minutes every morning or evening,X,X,X,X,X,X,,,0,
,Max 25 minutes of Instagram per day,X,X,X,X,X,X,X,,0,
,Set week specific goals Sunday night,,X (Carry over last week),,,,,,,0,
,Review strikes each night or in morning of following day,1,X,X,X,X,X,X,,1,
,,,,,,,,,,,
,Budgeting,,,,,,,,,0,
,"Buy breakfast, x1 per week",,,,,,,,,0,
,"Buy lunch max, x2 per weekdays",,X,,X,,,,,0,
,"Buy dinner max, x2 per weekdays",,,,,X,,,,0,
,"Buy lunch max, x1 per weekend",X,,,,,,,,0,
,"Buy dinner max, x1 per weekend",,,,,,X,,,0,
,Review expenses for 5 minutes at one point in the day,X,X,X,X,1,X,,,1,
,,,,,,,,,,,
,Work,,,,,,,,,,
,Begin active work by 9:30AM each day,,X,X,X,X,X,,,0,
,"Time block each day, intent to better plan day",,X,X,X,X,1,,,1,
,Do 90 minutes of focused do not disturb work every workday OR,,X,X,X,X,1,,,1,
,Do 4 pomadoro time blocks each day,,,,,,,,,0,
,,,,,,,,,,,
,Monthly,,,,,,,,,,
,"Review financial health (expenses, savings)",X,,,,,,,,0,
,Check-in with Chelsey on how she feels about us and what I can do as a partner,,,,,,,,,0,
,"Go to 1 networking event a month - either direct coffee, happy hour or speaker",,,,,,,,1,1,
,2 'nice' planned date nights a month,,,,,,,,,,
,,,,,,,,,,,
,Cooking,,,,,,,,,,
,Cook 1 new meal a week,,,,,,,,1,1,
,Read 10 pages of cook book each week,X,,,,,,,1,1,
,,,,,,,,,,,
,Other,,,,,,,,,,
,Complete review of Dad's updated storyworths,,,,,,,X,,0,
,Add in Alexa to Govee home system,,,,,,,,,0,
,Set up car insurance,,,,X,,,,,0,
,,,,,,,,,,0,
,,,,,,,,,,,
Misses:,,,,,,,,,,14,
,,,,,,,,,,,
2/2-2/8,,,,,,,,,,,
,Physical Health,,,,,,vacation (weak excuse for Friday but Saturday it counts),,,,
,Cardio Work Outs x2 (1 HIIT workout),,,,,,,,,0,
,Strength Work Outs x2,X,,,X,,,,,0,
,Core Work Out x1 (Can be cardio focused core),,X,,,,,,,0,
,No Zyns,,,,,,,,,0,
,In bed by 11:15PM on weeknights,,1,1,1,,,,,3,
,Awake by 7:25AM or 7:45 on weekdays; depending on WFH,,,1,1,1,,,,3,
,,,,,,,,,,,
,Mental Health,,,,,,,,,,
,Meditate x7,X,X,1,X,,,,,1,
,Gratitude Journal x7,X,X,X,X,,,,,0,
,Fifteen Minutes Written Journaling x2 (Wednesday & Sunday),,,,,,,,,0,
,Read 50 pages of non-fiction,X,,,,,,,,0,
,Read 1 chapter of a parenting book,X,X,1,X,,,,,1,
,Read 10 minutes every morning or evening,X,X,X,X,,,,,0,
,Max 25 minutes of Instagram per day,X,X,X,X,,,,,0,
,Set week specific goals Sunday night,,,,,,,,,0,
,Review strikes each night or in morning of following day,,X,X,X,,,,,0,
,,,,,,,,,,,
,Budgeting,,,,,,,,,0,
,"Buy breakfast, x1 per week",,,X,,,,,,0,
,"Buy lunch max, x2 per weekdays",,,X,,,,,,0,
,"Buy dinner max, x2 per weekdays",,,,X,,,,,0,
,"Buy lunch max, x1 per weekend",,,,,,,,,0,
,"Buy dinner max, x1 per weekend",,,,,,,,,0,
,Review expenses for 5 minutes at one point in the day,X,X,X,,,,,,0,
,,,,,,,,,,,
,Work,,,,,,,,,,
,Begin active work by 9:30AM each day,,X,X,X,,,,,0,
,"Time block each day, intent to better plan day",,X,X,X,,,,,0,
,Do 90 minutes of focused do not disturb work every workday OR,,X,X,X,,,,,0,
,Do 4 pomadoro time blocks each day,,,,,,,,,0,
,,,,,,,,,,,
,Monthly,,,,,,,,,,
,"Review financial health (expenses, savings)",,,,,,,,,0,
,Check-in with Chelsey on how she feels about us and what I can do as a partner,,,,,,,,,0,
,"Go to 1 networking event a month - either direct coffee, happy hour or speaker",,,,,,,,,0,
,2 'nice' planned date nights a month,,,,,,,,,,
,,,,,,,,,,,
,Cooking,,,,,,,,,,
,Cook 1 new meal a week,,,,,,,,,0,
,Read 10 pages of cook book each week,,,,,,,,,0,
,,,,,,,,,,,
,Other,,,,,,,,,,
,,,,,,,,,,0,
,Add in Alexa to Govee home system,,,,,,,,1,1,
,,,,,,,,,,0,
,,,,,,,,,,0,
,,,,,,,,,,,
Misses:,,,,,,,,,,9,
,,,,,,,,,,,
2/16-2/22,,,,,,,,,,,
,Physical Health,Vacation,,,,,,,,,
,Cardio Work Outs x2 (1 HIIT workout),,,,,,,,2,2,
,Strength Work Outs x2,,,X,,,X,X,,0,
,Core Work Out x1 (Can be cardio focused core),,,,,,,,1,1,
,No Zyns,,,X,X,X,X,1,,1,
,In bed by 11:15PM on weeknights,,,X,X,1,X,X,,1,
,Awake by 7:25AM or 7:45 on weekdays; depending on WFH,,,1,1,X,X,,,2,
,,,,,,,,,,,
,Mental Health,,,,,,,,,,
,Meditate x7,,,X,X,X,,,,0,
,Gratitude Journal x7,,,X,X,X,X,X,,0,
,Fifteen Minutes Written Journaling x2 (Wednesday & Sunday),,,,,,,X,,0,
,Read 50 pages of non-fiction,,,,,,,,X,0,
,Read 1 chapter of a parenting book,,,X,X,X,,,,0,
,Read 10 minutes every morning or evening,,,X,X,X,,,,0,
,Max 25 minutes of Instagram per day,,,,,,,,,0,
,Set week specific goals Sunday night,,,,,,,,,0,
,Review strikes each night or in morning of following day,,,X,X,1,,,,1,
,,,,,,,,,,,
,Budgeting,,,,,,,,,0,
,"Buy breakfast, x1 per week",,,,,,,,,0,
,"Buy lunch max, x2 per weekdays",,,,,,X,,,0,
,"Buy dinner max, x2 per weekdays",,,,,,,X,,0,
,"Buy lunch max, x1 per weekend",,,,,,,,,0,
,"Buy dinner max, x1 per weekend",,,,,,,,,0,
,Review expenses for 5 minutes at one point in the day,,,,,,,,2,2,
,,,,,,,,,,,
,Work,,,,,,,,,,
,Begin active work by 9:30AM each day,,,X,X,X,X,,,0,
,"Time block each day, intent to better plan day",,,X,X,X,X,,,0,
,Do 90 minutes of focused do not disturb work every workday OR,,,X,X,X,X,,,0,
,Do 4 pomadoro time blocks each day,,,,,,,,,0,
,,,,,,,,,,,
,Monthly,,,,,,,,,,
,"Review financial health (expenses, savings)",X,,,,,,,,0,
,Check-in with Chelsey on how she feels about us and what I can do as a partner,,,,,,,,,0,
,"Go to 1 networking event a month - either direct coffee, happy hour or speaker",,,,,,,,,0,
,2 'nice' planned date nights a month,,,,,,,,,,
,,,,,,,,,,,
,Cooking,,,,,,,,,,
,Cook 1 new meal a week,,,,,,,,1,1,
,Read 10 pages of cook book each week,,,,,,,,1,1,
,,,,,,,,,,,
,Other,,,,,,,,,,
,,,,,,,,,,0,
,Add in Alexa to Govee home system,,,,,,,,1,1,
,,,,,,,,,,0,
,,,,,,,,,,0,
,,,,,,,,,,,
Misses:,,,,,,,,,,13,
,,,,,,,,,,,
2/23-3/1,,,,,,,,,,,
,Physical Health,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,,,
,Cardio Work Outs x2 (1 HIIT workout),,,,,,X,X,,0,
,Strength Work Outs x2,,X,,X,,,,,0,
,Core Work Out x1 (Can be cardio focused core),,,,,,,X,,0,
,No Zyns,X,X,X,X,X,X,X,,0,
,In bed by 11:15PM on weeknights,X,X,X,X,X,X,,,0,
,Awake by 7:25AM or 7:45 on weekdays; depending on WFH,,1,X,X,X,1,,,2,
,,,,,,,,,,,
,Mental Health,,,,,,,,,,
,Meditate x7,X,X,X,X,X,1,X,,1,
,Gratitude Journal x7,X,X,X,X,X,X,X,,0,
,Ten Minutes Written Journaling x2 (Wednesday & Sunday),,,,,,,,1,1,
,Read 50 pages of non-fiction,X,,,,,,,,0,
,Read 1 chapter of a parenting book,X,X,X,X,X,X,X,,0,
,Read 10 minutes every morning or evening,X,X,X,X,X,X,X,,0,
,Max 25 minutes of Instagram per day,X,X,X,X,X,X,X,,0,
,Set week specific goals on Monday,,X,,,,,,,0,
,Review strikes each night or in morning of following day,,X,,,,,,,0,
,,,,,,,,,,,
,Budgeting,,,,,,,,,0,
,"Buy breakfast, x1 per week",,,,,,,,,0,
,"Buy lunch max, x2 per weekdays",,X,,,,,,,0,
,"Buy dinner max, x2 per weekdays",,,,,,,,,0,
,"Buy lunch max, x1 per weekend",,,,,,,X,,0,
,"Buy dinner max, x1 per weekend",,,,,,,X,,0,
,Review expenses for 5 minutes at one point in the day,1,X,X,X,X,X,1,,2,
,,,,,,,,,,,
,Work,,,,,,,,,,
,Begin active work by 9:30AM each day,,X,X,X,X,1,,,1,
,"Time block each day, intent to better plan day",,X,X,X,X,X,,,0,
,Do 90 minutes of focused do not disturb work every workday OR,,X,X,X,X,1,,,1,
,Do 4 pomadoro time blocks each day,,,,,,,,,0,
,,,,,,,,,,,
,Monthly,,,,,,,,,,
,"Review financial health (expenses, savings)",,,,,,,,,0,
,Check-in with Chelsey on how she feels about us and what I can do as a partner,,,,,,,,,0,
,"Go to 1 networking event a month - either direct coffee, happy hour or speaker",,,,,,,,1,1,
,2 'nice' planned date nights a month,,,,,,,,,,
,,,,,,,,,,,
,Cooking,,,,,,,,,,
,Cook 1 new meal a week,,,,,,,,1,1,
,Read 10 pages of cook book each week,,,,,,,,1,1,
,,,,,,,,,,,
,Other,,,,,,,,,,
,Keep strike count under 10,,,,,,,,,0,
,,,,,,,,,,0,
,,,,,,,,,,0,
,,,,,,,,,,0,
,,,,,,,,,,,
,,,,,,,,,,11,
,,,,,,,,,,,
